Features,bin,event,non_event,total,event_rate
installment,"(15.689, 152.73]",4548.0,22034.0,26582.0,0.171093
Sum totals: 265781 vs rows: 265781,"(152.73, 209.79]",4727.0,21857.0,26584.0,0.177814
,"(209.79, 269.61]",5226.0,21343.0,26569.0,0.196695
,"(367.09, 429.86]",5793.0,20845.0,26638.0,0.217471
,"(269.61, 321.55]",5785.0,20814.0,26599.0,0.217489
,"(321.55, 367.09]",6062.0,20519.0,26581.0,0.228058
,"(608.65, 762.08]",6070.0,20520.0,26590.0,0.228281
,"(429.86, 505.34]",6213.0,20348.0,26561.0,0.233914
,"(762.08, 1424.57]",6714.0,19837.0,26551.0,0.252872
,"(505.34, 608.65]",6920.0,19606.0,26526.0,0.260876
,,,,,
dti,"(-0.001, 6.51]",3931.0,22697.0,26628.0,0.147627
,"(6.51, 9.59]",4274.0,22271.0,26545.0,0.16101
,"(9.59, 12.03]",4702.0,21910.0,26612.0,0.176687
,"(12.03, 14.2]",4979.0,21561.0,26540.0,0.187604
,"(14.2, 16.36]",5242.0,21449.0,26691.0,0.196396
,"(16.36, 18.54]",5744.0,20769.0,26513.0,0.216648
,"(18.54, 20.88]",6088.0,20514.0,26602.0,0.228855
,"(20.88, 23.6]",6622.0,19876.0,26498.0,0.249906
,"(23.6, 27.43]",7454.0,19151.0,26605.0,0.280173
,"(27.43, 57.14]",9022.0,17525.0,26547.0,0.33985
,,,,,
annual_inc,"(120000.0, 8706582.0]",3881.0,20296.0,24177.0,0.160524
,"(95000.0, 120000.0]",4737.0,22746.0,27483.0,0.172361
,"(80000.0, 95000.0]",4844.0,21746.0,26590.0,0.182174
,"(70000.0, 80000.0]",5339.0,21248.0,26587.0,0.200812
,"(62000.0, 70000.0]",5630.0,20994.0,26624.0,0.211463
,"(55000.0, 62000.0]",5563.0,18550.0,24113.0,0.230705
,"(48000.0, 55000.0]",6985.0,23073.0,30058.0,0.232384
,"(41000.0, 48000.0]",6352.0,19627.0,25979.0,0.244505
,"(33275.0, 41000.0]",7274.0,20317.0,27591.0,0.263637
,"(2999.999, 33275.0]",7453.0,19126.0,26579.0,0.280409
,,,,,
open_il_6m,"(-0.001, 1.0]",0.0,52.0,52.0,0.0
#open installment loan in 6m,"(1.0, 2.0]",0.0,28.0,28.0,0.0
,"(2.0, 3.0]",0.0,23.0,23.0,0.0
,"(3.0, 4.0]",0.0,14.0,14.0,0.0
,"(7.0, 18.0]",0.0,14.0,14.0,0.0
,"(4.0, 7.0]",0.0,13.0,13.0,0.0
,MISSING,58058.0,207579.0,265637.0,0.218561
,,,,,
int_rate,"(5.319, 7.9]",2064.0,29940.0,32004.0,0.064492
,"(7.9, 9.99]",2570.0,20044.0,22614.0,0.113646
,"(9.99, 11.49]",3461.0,22130.0,25591.0,0.135243
,"(11.49, 12.49]",4319.0,21825.0,26144.0,0.1652
,"(12.49, 13.66]",5246.0,21614.0,26860.0,0.195309
,"(13.66, 14.64]",5759.0,20904.0,26663.0,0.215992
,"(14.64, 15.88]",6842.0,20052.0,26894.0,0.254406
,"(15.88, 17.57]",8063.0,18492.0,26555.0,0.303634
,"(17.57, 19.72]",9006.0,18163.0,27169.0,0.331481
,"(19.72, 28.99]",10728.0,14559.0,25287.0,0.42425
,,,,,
open_rv_12m,"(-0.001, 1.0]",0.0,78.0,78.0,0.0
,"(1.0, 2.0]",0.0,31.0,31.0,0.0
,"(2.0, 3.0]",0.0,18.0,18.0,0.0
,"(3.0, 8.0]",0.0,17.0,17.0,0.0
,MISSING,58058.0,207579.0,265637.0,0.218561
,,,,,
total_rev_hi_lim,MISSING,10158.0,53689.0,63847.0,0.159099
,"(57000.0, 2013133.0]",3459.0,16699.0,20158.0,0.171594
,"(41400.0, 57000.0]",4229.0,15880.0,20109.0,0.210304
,"(32800.0, 41400.0]",4596.0,15518.0,20114.0,0.228498
,"(26800.0, 32800.0]",4776.0,15429.0,20205.0,0.236377
,"(22163.5, 26800.0]",4910.0,15471.0,20381.0,0.240911
,"(18252.0, 22163.5]",4890.0,15303.0,20193.0,0.242163
,"(11600.0, 14800.0]",4975.0,14732.0,19707.0,0.252448
,"(14800.0, 18252.0]",5129.0,15045.0,20174.0,0.254238
,"(8100.0, 11600.0]",5251.0,15143.0,20394.0,0.257478
,"(-0.001, 8100.0]",5685.0,14814.0,20499.0,0.277331
,,,,,
revol_util,"(-0.001, 19.6]",3550.0,23106.0,26656.0,0.133178
#revolv_util=revolving balnance/total revolving limit,"(19.6, 31.7]",4510.0,21985.0,26495.0,0.170221
,"(31.7, 40.9]",5130.0,21647.0,26777.0,0.191582
,"(40.9, 48.7]",5522.0,20916.0,26438.0,0.208866
,"(48.7, 56.0]",5897.0,20812.0,26709.0,0.220787
,"(56.0, 63.0]",6045.0,20241.0,26286.0,0.22997
,"(63.0, 70.2]",6471.0,20163.0,26634.0,0.24296
,"(70.2, 78.0]",6656.0,20151.0,26807.0,0.248293
,"(78.0, 86.9]",6773.0,19551.0,26324.0,0.257294
,MISSING,57.0,152.0,209.0,0.272727
,"(86.9, 892.3]",7447.0,18999.0,26446.0,0.281593
,,,,,
,MISSING,10158.0,53689.0,63847.0,0.159099
tot_cur_bal,"(328333.5, 8000078.0]",3294.0,16900.0,20194.0,0.163118
#total current(debt) balance,"(237475.0, 328333.5]",3836.0,16356.0,20192.0,0.189976
,"(179781.2, 237475.0]",4313.0,15881.0,20194.0,0.213578
,"(130007.4, 179781.2]",4617.0,15577.0,20194.0,0.228632
,"(79124.0, 130007.4]",4974.0,15219.0,20193.0,0.246323
,"(-0.001, 13761.0]",4997.0,15198.0,20195.0,0.247437
,"(23351.0, 33839.0]",5407.0,14786.0,20193.0,0.267766
,"(13761.0, 23351.0]",5428.0,14765.0,20193.0,0.268806
,"(49158.2, 79124.0]",5500.0,14693.0,20193.0,0.272372
,"(33839.0, 49158.2]",5534.0,14659.0,20193.0,0.274055
,,,,,
tot_coll_amt,MISSING,10158.0,53689.0,63847.0,0.159099
#total collection ammount,"(-0.001, 82.0]",42732.0,139045.0,181777.0,0.235079
,"(82.0, 9152545.0]",5168.0,14989.0,20157.0,0.256387
,,,,,
delinq_2yrs,"(-0.001, 1.0]",54409.0,197726.0,252135.0,0.215793
#delinquencies(more than 30 days) in 2 years,"(1.0, 29.0]",3649.0,9997.0,13646.0,0.267404
,,,,,
mths_since_last_delinq,"(56.0, 68.0]",2541.0,9481.0,12022.0,0.211363
#mths since last delinquencies,"(26.0, 32.0]",2302.0,8558.0,10860.0,0.211971
,MISSING,31201.0,115758.0,146959.0,0.212311
,"(32.0, 39.0]",2557.0,9389.0,11946.0,0.214047
,"(39.0, 46.0]",2412.0,8811.0,11223.0,0.214916
,"(46.0, 56.0]",2596.0,9359.0,11955.0,0.217148
,"(68.0, 152.0]",2531.0,9104.0,11635.0,0.217533
,"(19.0, 26.0]",2951.0,10357.0,13308.0,0.221746
,"(14.0, 19.0]",2451.0,7882.0,10333.0,0.237201
,"(8.0, 14.0]",3188.0,9695.0,12883.0,0.247458
,"(-0.001, 8.0]",3328.0,9329.0,12657.0,0.262938
,,,,,
mths_since_last_major_derog,MISSING,45608.0,168932.0,214540.0,0.212585
#mths since last major derogatory,"(57.0, 64.0]",1044.0,3530.0,4574.0,0.228247
,"(30.0, 36.0]",1043.0,3525.0,4568.0,0.228327
